V1,V2
-51.02893639,-29.63697053
-51.30085513,-28.88820851
-51.27793699,-29.52224529
-51.17203686,-29.03678479
-51.37143671,-28.99094144
-50.9307671,-29.36722724
-51.49939451,-29.28818824
-51.22389664,-28.89702504
-51.37137377,-29.78545236
-51.30361003,-29.79314354
-50.74808488,-29.16462049
-51.7115844,-29.20403563
-51.68467675,-29.49431115
-51.14691938,-28.91890417
-50.55936014,-29.22641551
-51.15675204,-28.83989514
-51.14100469,-29.12139998
-50.85642737,-29.42865993
-51.24728876,-29.59211766
-51.25937946,-29.74719585
-51.82888808,-29.18134947
-50.93639391,-29.44606753
-51.39000473,-29.46348689
-51.12816951,-29.06360966
-51.20779816,-29.11825212
-51.58395287,-29.17365535
-51.83182263,-29.02387431
-51.81483851,-29.44113841
-50.7391864,-29.09341911
-51.35663153,-28.82622817
-50.68127345,-29.41441391
-50.63858356,-29.24699337
-51.64711947,-29.28493739
-51.5722231,-29.11252867
-51.43354573,-29.21144209
-51.46572966,-29.44089786
-51.0884499,-29.73694604
-51.08092964,-28.80189975
-51.06147813,-29.07734143
-51.42025487,-29.29548203
-51.71053068,-29.27619028
-51.00762218,-29.78828661
-51.64800687,-29.2038776
-50.50970013,-29.37124432
-51.56795051,-29.31679173
-51.32793026,-29.0722121
-51.41105404,-29.38308552
-51.20668048,-28.96247586
-51.61212383,-29.44895607
-51.73048845,-29.43163179
-50.51198133,-29.44233727
-51.50946279,-29.20826798
-50.60437438,-29.41498041
-50.50369816,-29.26881705
-50.60768903,-29.32189401
-51.79448761,-29.12099434
-51.6378605,-29.14154279
-50.71704024,-29.25242578
-51.17363851,-29.51432144
-51.48658098,-29.36315417
-50.98530723,-28.88154419
-51.62832512,-29.35292696
-51.29067496,-28.75164525
-51.57562372,-29.24724167
-50.70251832,-29.30905976
-50.99196962,-29.21460218
-50.86880828,-29.3263025
-51.07172549,-29.01452416
-51.3923487,-29.63013416
-51.29509398,-28.82220605
-50.65660354,-29.01415149
-50.88113044,-29.24664044
-51.10737445,-29.56406825
-51.12794741,-28.98669746
-50.56215033,-29.2948282
-51.73115824,-29.13420492
-51.78684873,-29.29235721
-51.75418388,-29.53255834
-51.3635597,-28.93328867
-51.2194952,-28.83944811
-50.92757359,-29.17441911
-51.77513533,-29.21147273
-51.84774528,-29.0919629
-51.72055763,-29.35793251
-51.0068974,-28.80235506
-50.78735863,-29.52540691
-51.23750192,-29.80605384
-50.79897847,-29.2552221
-51.17650444,-29.71800354
-51.41584237,-29.71075426
-51.0860067,-29.79486744
-50.69880466,-29.48155986
-51.43272202,-29.14298709
-51.53153432,-29.47604833
-51.25664976,-29.68382841
-50.95491122,-29.28750322
-50.82808473,-29.07069555
-51.0970715,-29.64597821
-50.77422691,-29.4427426
-51.05212967,-28.94542117
-51.18677895,-29.57837893
-51.50861845,-29.13365507
-51.66579294,-29.40566026
-51.28285351,-29.03220227
-51.7058262,-29.07340683
-51.22698217,-29.04901584
-51.3372725,-29.82669041
-50.84071023,-29.15849183
-51.77112398,-29.05336953
-50.57003914,-29.17618986
-51.18585108,-29.64751854
-50.61038467,-29.49445364
-51.75649365,-29.47881709
-51.59801222,-29.51219555
-51.85585762,-29.37089136
-51.77393444,-29.38795834
-51.56109993,-29.40308518
-51.3437178,-29.71637045
-51.85286919,-29.28562578
-51.04050656,-29.54366878
-50.78845233,-29.34247756
-51.20712154,-28.76104157
-51.33492818,-29.56155528
-51.14022794,-29.82120533
-51.30245616,-28.95939913
-51.26665105,-29.11156561
-50.88217568,-29.51636197
-50.5197317,-29.51329946
-51.06808323,-28.87979692
-50.66624132,-29.17645755
-50.626256,-29.09810638
-51.31952985,-29.63610997
-51.18577145,-29.79280909
-51.43077031,-29.77505651